receta,ingredientes,descripcion,categoria,enlace
Receta de Avena con leche,"['1 taza de avena en copos', '2 tazas de leche animal o vegetal', 'Canela al gusto', '3 gotas de esencia de vainilla', 'azúcar o miel (opcional)', 'frutos secos (opcional)', 'frutas (opcional)']","Pon a calentar la leche en un cazo a fuego medio y, cuando esté caliente, añade la avena en copos. Agrega la canela al gusto, así como la esencia de vainilla. Si la avena con leche te parece muy simple, puedes añadir unas 3 cucharaditas de azúcar, miel o el endulzante de tu preferencia. Deja que se cocine por unos 10 minutos y ve revolviendo. No dejes que la leche se seque demasiado, pues cuando la avena se enfríe quedará más seca aún. Sirve en un plato hondo, espolvorea un poco de canela, decora con frutas y frutos secos y disfruta. Aprovecha todos los beneficios de la avena preparándola en todas sus versiones, visita alguna de nuestras recetas con avena e inspírate:",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-avena-con-leche-73726.html
Receta de Harina de avena casera,['100 gramos de copos de avena'],"Introduce los copos de avena en el vaso de la licuadora, tápalo y empieza a triturar. Para hacer la harina de avena lo mejor es utilizar copos tradicionales y evitar la avena instantánea. Igualmente, para hacer harina de avena integral deberás usar copos integrales (el procedimiento es el mismo). Pasados unos tres minutos, remueve la avena para que los copos se trituren de forma pareja y sigue triturando. Aunque pueda parecer un paso que puedas saltarle, lo cierto es que si no remueves la avena lo que sucederá es que muchos de los copos se quedarán sin triturar porque la harina se acumulará en el fondo y no permitirá que circulen los copos restantes. Pasa la avena por un colador para obtener una harina mucho más fina. Los restos que queden en el colador son el salvado de avena, que también puedes guardarlo y utilizarla para múltiples recetas. Por ejemplo, puedes hacer galletas de avena con este salvado. ¡Listo! Ya tienes tu harina de avena casera preparada para elaborar tus recetas favoritas. Y para ver mejor el paso a paso, no te pierdas el vídeo en el que mostramos cómo hacer harina de avena. En nuestro canal encontrarás más recetas sencillas, ¡así que suscríbete!",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-harina-de-avena-casera-73671.html
Receta de Arroz con conejo y setas,"['350 gramos de arroz bomba', '1 conejo', '200 gramos de setas variadas', '1 pimiento verde', '2 dientes de ajos', '4 cucharadas soperas de tomate triturado', '1 pizca de azafrán', '1 litro de caldo de pollo o carne', '1 chorro de aceite', '1 pizca de sal']","Para hacer el arroz con conejo y setas, prepara los ingredientes. Pon una paella o cazuela a calentar con un poco de aceite y, cuando esté, dora el conejo cortado en trozos. Pica en trozos pequeños el pimiento verde y los ajos. Añade estos ingredientes a la cazuela con la carne para que se vayan cocinando. Añade el tomate triturado cuando el pimiento esté tierno y deja cocinar todo junto durante unos minutos. Pica las setas, añádelas a la cazuela, mezcla y saltea. Para hacer esta receta de arroz con conejo y setas puedes escoger las que más te guste, como champiñones, níscalos...  Vierte el caldo de pollo o de carne, deja que se cocine todo junto durante 10 minutos cuando empiece a hervir. En este punto, agrega el azafrán.  Incorpora el arroz, mezcla para integrarlo en el sofrito y deja que el arroz con setas y conejo se cocine a fuego medio durante 15-20 minutos, según el tipo de arroz utilizado. Si usas arroz bomba, el tiempo de cocción será de 20 minutos. A mitad de cocción prueba de sal y valora si es necesario añadir un poco más o no. Así mismo, para un arroz con conejo y setas meloso, no será necesario agregar más caldo, sin embargo, si lo que quieres es que quede más caldoso es posible que debas añadir un poco más en este paso. Cuando veas que el arroz está en su punto, apaga el fuego y deja que la preparación repose unos minutos antes de servir. ¡Listo! Sin duda, esta receta de arroz con conejo y setas es espectacular, además de sencilla. Es cierto que es un tanto larga debido a los ingredientes que componen el sofrito, sin embargo, el secreto de un buen arroz reside, precisamente, en la calidad del sofrito. Puedes acompañarla con una ensalada de tomate y aguacate o servir un aperitivo hecho a base de frutos del mar para ofrecer un menú variado, como almejas a la marinera.",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-con-conejo-y-setas-73589.html
Receta de Arroz caldoso con conejo,"['1 conejo', '400 gramos de arroz', '1 unidad de pimiento verde', '2 dientes de ajos', '2 cucharadas soperas de tomate frito', '1 cucharada postre de pimentón dulce', '1 chorro de aceite de oliva', '1 pizca de sal', '1½ litros de caldo ce pollo o carne']","Trocea el conejo en trozos medianos. Sálalo. Corta en trozos pequeños el pimiento verde y pica los ajos. En una cazuela con un poquito de aceite, dora los trozos de conejo. Cuando estén casi dorados, añade el pimiento picado, deja unos minutos y cuando el pimiento empiece a coger color, añade los ajos picados. Añade el tomate frito y la cuchara de pimentón dulce, remuévelo todo. Añade el caldo de pollo o carne, mantén un poco reservado por si hace falta más. Déjalo cocer 10 minutos todo junto. Agrega el arroz, remuévelo para dejarlo repartido por toda la cazuela y deja todo cocinar unos 15 minutos. Prueba de sal, rectifica si es necesario. Verifica que el arroz ya está listo y apaga. Déjalo reposar por unos minutos. Probamos el arroz por si está listo y apaga. Déjalo reposar unos minutos y tu arroz caldoso con conejo estará listo para servir.",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-caldoso-con-conejo-73507.html
Receta de Paella de marisco,"['400 gramos de arroz bomba', '1 sepia o calamar', '12 mejillones', '8 gambas o langostinos', '1 pimiento verde', '2 dientes de ajos', '2 cucharadas soperas de tomate triturado o tomate fresco', '1,4 litros de caldo de pescado', '4 hebras de azafrán', '1 cucharada postre de colorante', '1 cucharada postre de pimentón dulce', '1 chorro de aceite', '1 pizca de sal']","Lava los mejillones, corta el pimiento verde y pica los ajos. Asimismo, limpia y corta el calamar. Pon una paella al fuego con un buen chorro de aceite. Saltea las gambas y los calamares o la sepia a fuego fuerte. Saca las gambas y resérvalas. Pon el calamar y la sepia a un lado. Si hace falta, añade un poco más de aceite y agrega el pimiento verde. Deja cocinar por 3-4 minutos y añade los ajos picados. Remueve para que no se queme el ajo y, antes de que coja color, añade el tomate. Remueve y deja cocinar unos minutos más. Añade los mejillones para que se vayan abriendo. Puedes verter también un cazo de caldo. Añade la cucharadita de pimentón dulce y las hebras de azafrán. Puedes hacer un caldo de pescado casero visitando nuestra receta de caldo de pescado. Incorpora el arroz, remueve todo para que el arroz se impregne del sabor de todos los ingredientes. Echa el resto del caldo (calentado previamente), prueba de sal y corrige si hace falta. Añade el colorante y deja cocinar la paella por unos 15-18 minutos o hasta que el arroz esté listo. 5 minutos antes de que el arroz esté listo, pon por encima las gambas y termina de cocinar el arroz. Deja reposar la paella de marisco por unos 5 o 10 minutos. ¡Listos y a comer!",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-paella-de-marisco-73485.html
Receta de Arroz con porotos,"['1 taza de arroz', '2 tazas de agua(480 mililitros)', '2 tazas de porotos negros', '1 cebolla grande', '2 dientes de ajo', 'Ají en polvo al gusto', 'Sal y pimienta al gusto', 'Cilantro al gusto', 'Orégano al gusto', '1 cucharada sopera de vinagre blanco de vino', '1 hoja de laurel', '2 ramas de tomillo', '1 pimiento rojo']","Antes de hacer tu arroz con porotos, deja los porotos remojando en agua la noche anterior.  Cocina los porotos sumergiéndolos en agua dentro de una olla. Agrega un diente de ajo picado y la mitad de la cebolla picada y el pimiento. Condimenta con sal y cilantro. Déjalos cocinar hasta que estén suaves. Cocina el arroz condimentado con sal. Puedes agregar pimientos, cebolla o zanahoria rallada.  Corta el resto de la cebolla y el ajo y ponlos a sofreír en una sartén con aceite de oliva.  Agrega el arroz cocido y los porotos cocidos. Revuelve con el resto de los ingredientes y añade la hoja de laurel, el ají en polvo, el orégano, el tomillo y el vinagre.  Tapa la sartén y deja cocinar el arroz con porotos por unos 5 minutos. ¡Sirve y disfruta! ",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-con-porotos-73468.html
Receta de Polenta cremosa,"['500 mililitros de agua', '500 mililitros de leche', '250 gramos de polenta', '3 cucharadas soperas de mantequilla', '50 mililitros de nata líquida', '80 gramos de queso parmesano', '1 pizca de nuez moscada', 'sal y pimienta']","En una olla mediana calentamos el agua, la leche, la mantequilla, la sal, pimienta y nuez moscada hasta llevarlo a hervor. Agrega la polenta poco a poco mientras vas revolviendo con una paleta de madera para que no se hagan grumos. Una vez incorporada, baja la llama al mínimo y deja cocer unos 10 minutos, revolviendo de vez en cuando para que siga adquiriendo cremosidad. Al revolver por última vez, agrega la nata y el queso rallado hasta que se integren por completo a la mezcla y retira del fuego. Puedes dejarla reposar unos minutos, pero te recomendamos que sirvas la polenta cremosa mientras aún está caliente. Si quieres conocer más recetas con polenta, no dudes en visitar estas: ",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-polenta-cremosa-73409.html
Receta de Polenta frita,"['250 gramos de polenta', '1 litro de agua', '25 gramos de mantequilla', 'Aceite', '1 rama de romero', 'Sal al gusto', '1 puñado de nuez moscada', 'Pimienta al gusto']","En una olla a fuego medio, calienta el agua con la mantequilla y los condimentos, mezcla muy bien y revuelve hasta que hierva. Cuando empiece a hervir, agrega poco a poco la polenta en forma de lluvia, siempre revolviendo con una cuchara de madera. Añade, por último, la ramita de romero. Luego de unos 5 minutos comenzará a formarse una mezcla espesa, apaga el fuego, retira el romero y deja reposar tapado por unos minutos. Pinta con aceite o mantequilla una bandeja de vidrio o similar, vierte la polenta aún tibia en el molde y aplástala con una paleta hasta que quede de un grosor aproximado de 1 centímetro. Si no está muy caliente, puedes ayudarte con los dedos. Debes dejarla reposar hasta que se enfríe y verás que se solidifica un poco. Desmonta la polenta y córtala en tiras no muy delgadas, aproximadamente de un dedo de grosor. Calienta un chorrito de aceite en una sartén para dorar los trocitos de polenta. Dora cada lado de los trocitos a fuego medio-alto para que queden crujientes por fuera y suaves por dentro. Sirve la polenta frita de inmediato con un poco de queso parmesano.",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-polenta-frita-73406.html
Receta de Arroz con pollo venezolano,"['2 pechugas de pollo', '1 cebolla', '1 pimentón', '1 tomate', '1 lata de guisantes', '1 taza de arroz', '1 pizca de sal, pimienta y ajo al gusto', '1 pizca de cúrcuma']","Lava muy bien el pimentón, la cebolla y el tomate para cortarlos en trozos pequeños. El pollo también debes lavarlo bien y cortarlo en trozos no tan pequeños para condimentarlo con lo que más te guste. Te recomendamos usar sal, pimienta, ajo, salsa inglesa y orégano en polvo. Coloca una olla a fuego medio con un chorrito de aceite, saltea los vegetales con una pizca de sal. Cuando los vegetales estén blandos, agrega el pollo sazonado y saltéalo por un par de minutos, solo hasta que tome un color blanquecino. Agrega a este salteado la taza de arroz, los guisantes y la cúrcuma, mezcla bien todo y, a continuación, agrega 1 1/2 tazas de agua. Déjalo a fuego bajo sin tapa hasta que seque. Sirve mientras está caliente. Puedes espolvorear un poco de queso parmesano por encima para darle un toque especial a tu plato de arroz con pollo venezolano.",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-con-pollo-venezolano-73402.html
Receta de Polenta con tuco,"['250 gramos de carne de ternera molida', '1 copa de vino tinto', '1 cuenco de queso parmesano', '1 cuenco de aceite de oliva', '1 cucharadita de azúcar', '1 cucharadita de cebolla en polvo o cebolla fresca molida', '1 pellizco de pimienta negra', '1 pellizco de ají molido', '1 cucharadita de sal', '1 diente de ajo', '1 pieza de pimiento dulce rojo', '1 cuenco de pulpa de tomate sin piel', 'Para la polenta', '2 cucharadas soperas de harina de maíz', '1 litro de caldo de ave', '10 gramos de mantequilla']","En una sartén, pon a calentar aceite de oliva y añade el pimiento en rodajas finas. Añade la carne molida y rehoga durante 3 minutos. Agrega la pulpa de tomate y cocina 3 minutos más a fuego medio. Condimenta con sal, azúcar, ají, pimienta negra, ajo picado y, por último, el vino tinto. Baja el fuego y deja cocinar lentamente para conseguir una salsa de carne guisada deliciosa. Este es el momento para preparar la polenta. Pon el caldo de ave a calentar en una cazuela o sartén honda. Añade la harina de maíz de manera espolvoreada para evitar que se formen grumos. No dejes de remover la mezcla y cocina a fuego bajo durante 3 minutos. Sabrás que está lista cuando esté cremosa. Si la ves muy sólida, puedes añadir más caldo o agua. Cuando esté lista, añade mantequilla para que se derrita sobre la polenta. Emplata primero la polenta recién hecha y vierte sobre ella el tuco. Espolvorea con queso parmesano rallado por encima y disfruta tu polenta con tuco.",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-polenta-con-tuco-73365.html
Receta de Arroz con chipirones,"['300 gramos de arroz bomba', '2 dientes de ajos', '1 pimiento verde pequeño', '5 hebras de hebras de azafrán o colorante', '400 gramos de chipirones', '900 mililitros de caldo de pescado o agua', '125 gramos de tomate triturado o salsa de tomate', '1 chorro de aceite', '1 pizca de sal']","Pica el pimiento y los ajos. Pon una paellera al fuego e incorpora las verduras para dejar que se rehoguen hasta que empiecen a coger color. Entonces, añade el tomate triturado y deja que se cocine el sofrito durante 3-4 minutos. Todo ello a fuego medio. Limpia los chipirones y córtalos en trozos. Agrega los chipirones al sofrito y cocina todo junto durante 5 minutos más. Por otro lado, calienta el caldo o el agua aparte.  Añade el arroz y mézclalo bien con el sofrito para que coja todo el sabor. Saltéalo durante un par de minutos.  Vierte el caldo de pescado caliente y las hebras de azafrán o el colorante y un poco de sal. Remueve ligeramente para repartir bien el arroz con chipirones y sube el fuego. Cuando empiece a hervir, reduce a fuego medio y deja que se cocine todo durante 15-18 minutos, dependiendo del tipo de arroz utilizado. Cuando esté listo, apaga el fuego y deja que repose unos 5 minutos antes de servir. Ya puedes disfrutar de esta increíble receta de arroz con chipirones, un plato fácil de hacer e ideal para cuando tenemos invitados. Se puede acompañar con una ensalada de aguacate y mango y preparar un postre de limón para finalizar el menú.",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-con-chipirones-73345.html
Receta de Arroz con salmón,"['1 taza de arroz', '1 trozo de pimiento rojo', '1 pieza de pimiento verde (italiano)', '4 dientes de ajo', '2 piezas de lomo de salmón (ahumado o no)', '1 taza de tomate (casero o frito)', '1 cucharada sopera de de condimentos (cúrcuma, perejil, pimentón dulce)', '5 tazas de agua(1200 mililitros)', 'sal al gusto', '1 taza de aceite de oliva']","Corta el salmón en cubos. No debe tener piel ni espinas. Reserva. Corta el pimiento verde y rojo en tiras. Corta el ajo en láminas. Sofríe el ajo en aceite de oliva en una olla honda. Añade los pimientos y continúa cocinando por 2 minutos. Agrega los cubos de salmón para sellarlos. Cuando estén sellados, agrega el tomate frito. Seguidamente, añade 5 tazas de agua. Cuando el agua comience a hervir, añade la sal y las especias. Echa el arroz en la olla con el caldo hirviendo. Cocina sin remover durante 20 minutos a fuego medio. Si quieres hacer más arroz, ten en cuenta que un plato equivale a dos puñados del cereal. Cuando el arroz con salmón esté listo, déjalo reposar 5 minutos para que se asienten los sabores e ingredientes. Quedará meloso, sin caldo, pero húmedo. ¡Sirve y buen provecho! ¿Se te antojan otras recetas con salmón? No dejes de probar estas:",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-con-salmon-73262.html
Receta de Arroz con verduras y setas,"['1 cebolla', '1 pimiento rojo', '2 tomates', '3 cucharadas soperas de aceite de oliva', '1 diente de ajo', '250 gramos de setas', '400 gramos de menestra congelada', '1 cucharadita de pimentón dulce', '350 gramos de arroz', '1 litro de caldo de verduras', '1 cucharadita de cúrcuma']","Pela la cebolla y el ajo y pícalos. Parte el pimiento por la mitad, retira las semillas y trocéalo en pedazos pequeños. Pela los tomates, retira las semillas y tritúralos con ayuda de una batidora o procesadora de alimentos. En una cacerola amplia, pon el aceite a calentar. Cuando esté listo, añade la cebolla, el pimiento y el ajo, y sofríe 3 o 4 minutos. Incorpora el tomate triturado y sofríe 3 minutos más. Añade las setas. En este caso, hemos utilizado champiñones baby de lata, pero puedes utilizar setas variadas. Si son setas de cardo, córtalas en trozos más pequeños. Remueve durante 1 minuto. Agrega la menestra (no hace falta descongelarla previamente) y remueve durante 2 o 3 minutos. Incorpora el arroz y una cucharadita de pimentón dulce. Remueve durante 1 minuto. Aparta el sofrito y reserva. Para hacer el caldo de verduras, hemos reciclado la parte dura de los espárragos, los tallos de los ajetes tiernos, la parte verde de los puerros y unos trozos de brócoli que se habían puesto amarillos. Pon todo en una olla con agua y cuécelo por 30 minutos. Una vez cocido, comprueba que esté bien de sal y cuélalo. Añádelo al arroz junto a una cucharadita de cúrcuma. Remueve y cuece durante 20 minutos, los primeros 10 minutos a fuego fuerte y los últimos 10, a fuego lento. Cuando el arroz con verduras y setas esté listo, ¡sírvelo en platos y disfruta!",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-con-verduras-y-setas-73258.html
Receta de Arroz meloso con setas,"['350 gramos de arroz', '300 gramos de setas variadas', '1 unidad de cebolla mediana', '2 dientes de ajo', '3 cucharadas soperas de tomate frito', '1,3 litros de caldo de pollo, verduras o agua', '1 cucharada postre de azafrán', '1 chorro de aceite de oliva', '1 pizca de sal']","Para preparar tu arroz meloso con setas, pica la cebolla y el ajo en pedacitos muy pequeños. Lava las setas, córtalas en trozos y resérvalas. En una cazuela, vierte un buen chorro de aceite. Cuando esté caliente, añade la cebolla y deja que sofría hasta que comience a dorar. En ese momento, agrega los dientes de ajo.  Antes de que los ajos se doren, añade el tomate frito y el azafrán. Remueve y déjalo por unos minutos para que se rehogue. A continuación, agrega las setas y deja que se cocinen en el sofrito.  Mientras se cocina, vierte el agua o el caldo en un cazo y ponlo a calentar. Rehoga el arroz en el sofrito anterior. Cuando el caldo esté bien caliente, viértelo en el sofrito. No añadas todo, solo lo suficiente para que la preparación de tu arroz meloso con setas quede bien cubierta. Déjalo cocer por entre unos 15 y 18 minutos.  Cuando se esté secando y le quede poco para estar listo, confirma que está bien de sal y, si es necesario, rectifica. Deja que termine de cocinar. Una vez esté listo, apaga y deja reposar por unos minutos antes de servir. ¡Disfruta de un jugoso arroz meloso con setas lleno de sabor! ¿Quieres conocer más recetas con arroz? No dejes de probar estas:",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-meloso-con-setas-73069.html
Receta de Arroz con pollo y azafrán,"['1 pollo en trozos', '350 gramos de arroz bomba', '1 cebolla mediana', '1 trozo de pimiento verde y rojo', '2 dientes de ajos', '1 litro de caldo de pollo', '4 hebras de azafrán o en polvo', '5 cucharadas soperas de tomate triturado', '1 chorro de aceite', '1 pizca de sal']","Picamos las verduras, es decir, la cebolla, el pimiento rojo y el pimiento verde y los dientes de ajo. Recomendamos picar todos los ingredientes en trozos de igual tamaño. Ponemos una cazuela con un buen chorro de aceite, añadimos las verduras cuando esté caliente y las dejamos unos minutos para que se pochen a fuego medio. Cogemos unas cuantas hebras de azafrán. Aunque también podemos usar la versión en polvo para preparar el arroz con pollo y azafrán, la diferencia reside en que las hebras tendremos que tostarlas un poco, como veremos en el siguiente paso. Cuando las verduras estén pochadas, añadimos las hebras y, con mucho cuidado, dejamos que se tuesten un poco pero sin que se quemen. Aunque pensemos que podemos saltarnos este paso, lo cierto es que no, ya que si no tostamos las hebras el azafrán no aportará todo su sabor. Por otro lado, es preciso utilizar pocas hebras, ya que proporciona un sabor muy intenso. Enseguida, añadimos el tomate triturado, removemos todo y dejamos que se acabe de hacer el sofrito durante unos minutos. Cortamos el pollo en trozos, salamos y los agregamos a la cazuela con el sofrito. Dejamos que se cocine todo junto, removiendo de vez en cuando para evitar que se queme. Incorporamos el arroz y removemos para que se integren bien todos los sabores y, a su vez, se tueste un poco el cereal. Vertemos el caldo de pollo caliente, movemos un poco, y dejamos que se cocine el arroz con azafrán y pollo durante 18 minutos a fuego medio-bajo. Es importante revisar la cocción del arroz a partir de los 10 minutos, ya que, en función del tipo que usemos, puede tardar menos en cocerse. Probamos de sal y rectificamos si hace falta. Cuando el arroz esté bien hecho, retiramos la cazuela del fuego y dejamos que la preparación repose durante 5 minutos. ¡Y ya estará listo para comer! Sin duda, esta receta de arroz con pollo y azafrán en hebras queda bien rica, es perfecta para cualquier ocasión e, incluso, apta para perder peso. Eso sí, en caso de querer incluir este plato en un menú para adelgazar recomendamos sustituir el tomate frito por dos tomates picados. Y si te apetece probar la versión sin pollo, no te pierdas esta otra receta de arroz con azafrán. Para más detalles, no te pierdas nuestro vídeo con esta fantástica receta de arroz con pollo y azafrán:",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-con-pollo-y-azafran-73034.html
Receta de Hamburguesas de arroz yamaní,"['2 tazas de arroz yamaní', '1 zanahoria', '1 cebolla', '2 dientes de de ajo', '1 pimiento rojo', '1 cucharada sopera de de perejil picado', '1 taza de de queso rallado (puede ser vegano)', 'Aceite de oliva']","Vierte dos tazas y media de agua en una olla junto con el arroz yamaní y añade sal. Cuécelo por unos 40 minutos y luego déjalo reposar por otros 12. Pica las cebollas, el pimiento rojo y el ajo en pedacitos muy finos. Luego, sofríelos en una sartén con un poquito de aceite de oliva. Agrégale un poco de sal y déjalo cocinar por unos 10 minutos.  Ralla la zanahoria y mézclala en un bol junto al arroz, las verduras, las hojitas de perejil y el queso rallado. Puedes usar queso vegano u omitir el queso del todo. Si quieres preparar tu propio queso, esta receta de queso vegano garbanzos seguro que te encantará. Luego, moldea la mezcla en forma de hamburguesas hasta que te queden perfectamente confeccionadas. Coloca las hamburguesas en una bandeja aceitada y déjalas cocer al horno a una temperatura de 200 ºC por 10 minutos de cada lado. ¡Sírvelas con pan u otros acompañantes y disfruta!",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-hamburguesas-de-arroz-yamani-72737.html
Receta de Risotto de setas y gambas,"['250 gramos de arroz bomba o especial para risotto', '1 litro de caldo de verduras o pescado', '200 gramos de setas variadas', '150 gramos de gambas peladas', '1 cebolla', '50 gramos de mantequilla', '50 gramos de queso parmesano', '120 mililitros de vino blanco', '1 chorro de aceite de oliva', '1 pizca de sal', '1 pizca de pimienta']","Ponemos una cazuela a fuego medio con un poco de aceite. Una vez caliente, salteamos las setas y, cuando estén hechas, añadimos las gambas peladas. Les damos una vuelta, sacamos y reservamos. En la misma cazuela, agregamos un poco más de aceite y pochamos la cebolla hasta que se dore un poco. Sin duda, este ingrediente aportará mucho sabor a esta receta de arroz con setas y gambas. Cuando esté la cebolla, incorporamos el arroz y lo removemos unos minutos. Añadimos el vino, dejamos un par de minutos para que se evapore el alcohol y seguimos removiendo. Calentamos el caldo y, acto seguido, lo vamos agregando por cazos o vasos, removiendo sin parar. Para hacer el risotto de setas y gambas perfecto, es importante que vayamos añadiendo caldo conforme se vaya consumiendo, hasta que el arroz esté listo. En general, esto suele llevar unos 20 minutos. 5 minutos antes, cuando veamos que le queda poco al arroz, incorporamos las setas y las gambas, removemos, probamos y añadimos un poco de sal si hace falta. Cuando veamos que el arroz está hecho pero entero, agregamos la mantequilla a temperatura ambiente cortada en trozos, removemos y añadimos el queso parmesano recién rallado. Removemos hasta que quede bien cremoso el arroz con setas y gambas. Probamos de sal y de queso por si quisiéramos poner un poco más. Apagamos, dejamos reposar un par de minutos y servimos. ¡Listo! Esta receta de risotto de gambas con setas es espectacular. Aunque resulta un tanto laboriosa porque requiere de nuestra atención en todo momento, no es nada complicada y el resultado vale pena. Podemos acompañar el plato con una ensalada de tomate, mozzarella y orégano, típica también de la gastronomía italiana. Y para descubrir más recetas, no olvides visitar mi blog Cocinando con Montse.",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-risotto-de-setas-y-gambas-72227.html
Receta de Arroz a la cubana fácil y rápido,"['200 gramos de arroz', '2 huevos', '200 gramos de tomate frito', '1 chorro de aceite de oliva', '1 pizca de sal']","Preparamos todos los ingredientes para preparar el arroz a la cubana sin plátano. Ponemos un cazo con abundante agua y un poco de sal, cuando empiece el agua a hervir añadimos el arroz, lo iremos removiendo de vez en cuando para que nos quede suelto el arroz cubano. Una vez cocido el arroz lo colamos y enjuagamos con abundante agua fría. Lo escurrimos bien. Servimos el arroz a cada comensal en un plato. Cubrimos con el tomate frito que hemos calentado previamente. Cogemos una sartén, ponemos un poco de aceite de oliva y hacemos el huevo frito. Colocamos encima del arroz con tomate el huevo ¡y listo para comer! Puedes acompañar la receta de arroz a la cubana fácil con una coles de bruselas al horno con queso o unas alcachofas en salsa por ejemplo.",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-arroz-a-la-cubana-facil-y-rapido-72089.html
Receta de Paella de hígado de toro,"['1 kg y 1/2 de: mitad de lleterolas (mollejas) de toro y la otra mitad de hígado, corazón y solomillo de toro', '400 gramos de garbanzos (también pueden ser de bote ya cocidos)', '1 endivia (escarola)', '1 bote de tomate triturado natural', 'Colorante alimentario', '2 guindillas (cayenas)', '350 gramos de arroz', 'Aceite de oliva', '2 cucharaditas de pimentón dulce', 'Agua']","Ponemos aceite de oliva (no abusar del mismo) y empezamos sofriendo muy bien la carne. Le ponemos sal. Y cuando ya está bien frita por todos los lados, echamos un par de guindillitas, depende de lo que piquen.  Añadimos los garbanzos de bote escurridos removiendo bien. Seguidamente añadimos la escarola (endivia).  Pasados unos 10/15 minutos, se echa el tomate, se mezcla todo bien y se fríe un ratito el sofrito de la paella de hígado de toro, con cuidado de que no se queme. Echamos dos cucharaditas de pimentón dulce, mezclamos y para que no se queme y amargue, añadimos el agua a cubrir. Cuando ha hervido bien y el agua ya ha bajado de los clavitos de la paella, añadimos el colorante al gusto y seguidamente el arroz. Calculamos de 15 a 20 minutos par cocinar el arròs amb fetge. Servir la paella de hígado de toro recién hecha pasado este tiempo. ¡A comer!",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-paella-de-higado-de-toro-66448.html
Receta de Granola casera sin azúcar,"['2 tazas de copos de avena', '5 cucharadas soperas de nueces', '5 cucharadas soperas de pasas', '5 cucharadas soperas de cacahuetes crudos', '2 cucharadas soperas de de semillas de lino', '2 cucharadas soperas de semillas de girasol', '2 cucharadas soperas de semillas de cáñamo', '40 ml de sirope de agave (opcional)', '2 cucharadas soperas de aceite de girasol o de coco derretido', '1 cucharada sopera de canela molida', '1/2 cucharadita de sal']","Trocea las nueces y los cacahuetes en la batidora o simplemente pícalos con un cuchillo. En un bol mezcla los copos de avena con las nueces, los cacahuetes, las pasas, las semillas de cáñamo, girasol y lino. Añade la canela y la sal. Incorpora el aceite y un buen chorro de sirope de agave y mezcla la granola casera sin azúcar con las manos hasta que se integren todos los ingredientes. Cubre una bandeja de horno con papel vegetal y vierte la granola casera vegana encima extendiéndola con una cuchara por el fondo de la bandeja de forma homogénea. Precalienta el horno a 160 grados y hornea la granola casera para diabéticos durante 20-30 minutos removiendo de vez en cuando para que no se queme. Cuando la granola quede tostada, retira la bandeja del horno y déjala enfriar. Conserva la granola casera vegana en un tarro o tupper bien cerrado para que aguante más tiempo en tu despensa. Sirve la granola casera sin azúcar con yogur, leche de almendras sin azúcar o como topping de un smoothie bowl de plátano por ejemplo. En mi blog Vegspiration tienes muchas más recetas para poder poner o acompañar la granola con otras preparaciones sanas.",Recetas de Arroces y cereales,https://www.recetasgratis.net/receta-de-granola-casera-sin-azucar-71834.html
